Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Fiji,FJI,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.4
Fiji,FJI,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.7
Fiji,FJI,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.9
Fiji,FJI,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.2
Fiji,FJI,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.5
Fiji,FJI,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.7
Fiji,FJI,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.1
Fiji,FJI,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.6
Fiji,FJI,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.1
Fiji,FJI,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.350539618
Fiji,FJI,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.751022515
Fiji,FJI,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,9.929179993
Fiji,FJI,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,12.45754541
Fiji,FJI,2021,Number of infant deaths,SH.DTH.IMRT,418
Fiji,FJI,2020,Number of infant deaths,SH.DTH.IMRT,420
Fiji,FJI,2019,Number of infant deaths,SH.DTH.IMRT,419
Fiji,FJI,2018,Number of infant deaths,SH.DTH.IMRT,415
Fiji,FJI,2017,Number of infant deaths,SH.DTH.IMRT,414
Fiji,FJI,2016,Number of infant deaths,SH.DTH.IMRT,413
Fiji,FJI,2015,Number of infant deaths,SH.DTH.IMRT,410
Fiji,FJI,2014,Number of infant deaths,SH.DTH.IMRT,407
Fiji,FJI,2013,Number of infant deaths,SH.DTH.IMRT,403
Fiji,FJI,2012,Number of infant deaths,SH.DTH.IMRT,403
Fiji,FJI,2011,Number of infant deaths,SH.DTH.IMRT,408
Fiji,FJI,2010,Number of infant deaths,SH.DTH.IMRT,417
Fiji,FJI,2009,Number of infant deaths,SH.DTH.IMRT,425
Fiji,FJI,2008,Number of infant deaths,SH.DTH.IMRT,429
Fiji,FJI,2007,Number of infant deaths,SH.DTH.IMRT,428
Fiji,FJI,2006,Number of infant deaths,SH.DTH.IMRT,421
Fiji,FJI,2005,Number of infant deaths,SH.DTH.IMRT,412
Fiji,FJI,2004,Number of infant deaths,SH.DTH.IMRT,407
Fiji,FJI,2003,Number of infant deaths,SH.DTH.IMRT,400
Fiji,FJI,2002,Number of infant deaths,SH.DTH.IMRT,394
Fiji,FJI,2001,Number of infant deaths,SH.DTH.IMRT,390
Fiji,FJI,2000,Number of infant deaths,SH.DTH.IMRT,389
